鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,建物,臺北市中山區德惠街1~30號,0.0,商,,,1090120,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041221,90.71000000000001,2,1,1,有,有,有,55000,606,,0.0,0,,RPVQMLKMJHPFFCA38CC
中山區,建物,臺北市中山區新生北路二段68巷1~30號,0.0,商,,,1090108,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602,82.64,2,1,1,有,有,有,50000,605,,0.0,0,,RPORMLKMJHPFFCA77CC
中山區,建物,臺北市中山區林森北路107巷61~90號,0.0,商,,,1090109,土地0建物1車位0,二層,7,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1010210,85.17,2,1,2,有,有,有,46000,540,,0.0,0,,RPPRMLKMJHPFFCA87CC
中山區,建物,臺北市中山區中山北路二段91~120號,0.0,商,,,1090118,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080227,92.27,2,1,1,有,有,有,65000,704,,0.0,0,,RPQRMLKMJHPFFCA97CC
中正區,建物,臺北市中正區臨沂街8巷1~30號,0.0,住,,,1090106,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0570820,107.63,3,2,2,有,無,有,48000,446,,0.0,0,做個人工作室使用。,RPQNMLKMJHPFFBA47CC
中正區,建物,臺北市中正區新生南路一段160巷1~30號,0.0,住,,,1090108,土地0建物1車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020523,204.99,3,2,2,有,無,有,110000,537,升降機械,11.73,0,親友、員工或其他特殊關係間之交易。;含兩個停車位,RPPOMLKMJHPFFBA47CC
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1090122,土地0建物1車位0,八層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,46.31,1,1,1,有,有,有,26000,561,,0.0,0,,RPTOMLKMJHPFFBA87CC
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1090117,土地0建物1車位0,十五層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,47.21,1,1,1,有,有,有,30000,635,,0.0,0,,RPUOMLKMJHPFFBA97CC
大同區,建物,臺北市大同區華陰街61~90號,0.0,商,,,1090109,土地0建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020118,74.87,2,1,1,有,有,有,35000,467,,0.0,0,,RPVOMLKMJHPFFBA08CC
松山區,建物,臺北市松山區光復北路11巷31~60號,0.0,住,,,1090117,土地0建物0車位0,十三層,15,辦公商業大樓,商業用,鋼筋混凝土造,0800805,175.20000000000002,1,0,0,有,有,無,82000,468,,0.0,0,承租部份面積含公設約53坪。,RPRNMLKMJHPFFDA77CC
松山區,建物,臺北市松山區敦化北路199巷1~30號,0.0,住,,,1090116,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830716,171.35,3,2,2,有,無,有,49800,291,,0.0,0,,RPSNMLKMJHPFFDA87CC
信義區,建物,臺北市信義區基隆路一段121~150號,0.0,住,,,1090113,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950802,32.78,1,1,1,有,無,有,23000,702,,0.0,0,,RPTNMLKMJHPFFDA97CC
信義區,建物,臺北市信義區忠孝東路五段236巷3弄31~60號,0.0,商,,,1090113,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,78.81,2,2,1,有,無,有,33000,419,,0.0,0,,RPWNMLKMJHPFFDA28CC
松山區,建物,臺北市松山區敦化北路165巷1~30號,0.0,住,,,1090116,土地0建物1車位2,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951030,371.48,4,2,3,有,無,有,160403,432,坡道平面,85.02,0,,RPOOMLKMJHPFFDA57CC
松山區,建物,臺北市松山區民生東路四段55巷1~30號,7.69,其他,,,1090120,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,39.66,1,1,1,有,有,無,16000,403,,0.0,0,,RPVOMLKMJHPFFDA28CC
信義區,建物,臺北市信義區信義路五段150巷1~30號,0.0,住,,,1090110,土地0建物1車位0,十層,30,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0861024,153.72,4,2,2,有,有,有,65000,423,,0.0,0,,RPQPMLKMJHPFFDA87CC
松山區,建物,臺北市松山區敦化北路199巷1~30號,0.0,住,,,1090111,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830716,171.35,3,2,2,有,有,有,47000,274,,0.0,0,,RPRPMLKMJHPFFDA97CC
松山區,建物,臺北市松山區南京東路五段66巷12弄1~30號,0.0,住,,,1090116,土地0建物1車位0,一層,7,店面(店鋪),見使用執照,鋼筋混凝土造,0700216,146.27,0,0,0,無,無,有,40000,273,,0.0,0,,RPSPMLKMJHPFFDA08CC
信義區,建物,臺北市信義區忠孝東路五段524巷1弄1~30號,0.0,住,,,1090123,土地0建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,,121.79,0,0,0,無,無,無,60000,493,,0.0,0,,RPUPMLKMJHPFFDA28CC
松山區,建物,臺北市松山區八德路三段151~180號,0.0,商,,,1090106,土地0建物1車位1,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070331,127.63,2,1,1,有,有,有,50000,392,坡道機械,0.0,0,,RPVPMLKMJHPFFDA38CC
信義區,建物,臺北市信義區信義路五段91~120號,0.0,其他,,,1090113,土地0建物1車位0,十六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980702,110.53999999999999,2,2,1,有,有,有,79000,715,,0.0,0,,RPWPMLKMJHPFFDA48CC
士林區,建物,臺北市士林區德行西路31~60號,0.0,工,,,1090108,土地0建物1車位0,十一層,13,其他,見其他登記事項,鋼筋混凝土造,0970502,47.99,1,1,1,有,有,有,25000,521,,0.0,0,,RPWOMLKMJHPFFEA48CC
士林區,建物,臺北市士林區中山北路七段121~150號,0.0,住,,,1090111,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680406,133.38,3,2,2,有,無,有,35000,262,,0.0,0,,RPRPMLKMJHPFFEA08CC
士林區,建物,臺北市士林區中山北路七段14巷1~30號,0.0,住,,,1090101,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0770119,146.85,3,2,2,有,有,有,70000,477,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTPMLKMJHPFFEA28CC
北投區,建物,臺北市北投區裕民二路61~90號,0.0,商,,,1081218,土地0建物1車位0,十二層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,112.81,2,1,1,有,有,有,60000,532,,0.0,0,,RPUPMLKMJHPFFEA38CC
大安區,建物,臺北市大安區復興南路二段193巷1~30號,0.0,商,,,1090113,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040508,164.85,3,2,2,有,無,有,135000,819,,0.0,0,,RPPNMLKMJHPFFFA77CC
大安區,建物,臺北市大安區和平東路一段181~210號,0.0,商,,,1090121,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071224,83.56,2,1,1,有,有,有,50000,598,,0.0,0,含管理費,RPRNMLKMJHPFFFA97CC
大安區,建物,臺北市大安區忠孝東路四段121~150號,0.0,商,,,1090113,土地0建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710209,95.03999999999999,0,0,0,無,有,無,50000,526,坡道平面,43.5,0,,RPROMLKMJHPFFFA08CC
士林區,建物,臺北市士林區中山北路六段151~180號,0.0,住,,,1081215,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620723,76.27,0,0,1,有,無,無,27000,354,,0.0,0,,RPOPMLKMJHPFFEA87DC
中正區,建物,臺北市中正區汀洲路二段178巷1~30號,0.0,住,,,1090113,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060829,111.32,2,1,1,有,無,有,62000,557,,0.0,0,,RPOOMLKMJHPFFAA27CC
文山區,建物,臺北市文山區羅斯福路五段91~120號,0.0,商,,,1090123,土地0建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970618,68.99,2,1,1,有,有,有,24000,348,升降機械,0.0,0,,RPPOMLKMJHPFFAA37CC
文山區,建物,臺北市文山區興隆路二段154巷1~30號,0.0,住,,,1090122,土地0建物0車位0,三層,4,套房(1房1廳1衛),,鋼筋混凝土造,,20.35,1,0,1,有,無,有,8300,408,,0.0,0,此為分租套房，房號304，第三層共分成5間，一間平均面積約為20.35平方公尺,RPUOMLKMJHPFFAA87CC
文山區,建物,臺北市文山區辛亥路四段77巷92弄1~30號,0.0,住,,,1090108,土地0建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920922,138.06,1,2,1,有,有,有,34000,246,坡道平面,36.26,0,租金含管理費。有三筆地號615-1、615-2、762-1的土地座落於台北市大安區。,RPTNMLLMJHPFFAA77CC
松山區,建物,臺北市松山區光復北路8561~90號,0.0,住,,,1090121,土地0建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,0670929,98.27,0,1,1,有,無,無,45000,458,,0.0,0,租金實拿。免租裝潢期為109/02/01至109/03/14。,RPWPMLLMJHPFFDA68DC
大安區,建物,臺北市大安區敦化南路二段63巷31~60號,0.0,住,,,1090108,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810326,60.440000000000005,2,1,1,有,無,有,28000,463,,0.0,0,租金含管理費。,RPPNMLLMJHPFFFA87CC
大安區,建物,臺北市大安區敦化南路一段187巷61~90號,0.0,住,,,1081231,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0631115,191.74,4,2,2,有,無,有,80000,417,,0.0,0,,RPUNMLLMJHPFFFA38CC
北投區,車位,臺北市北投區永興路二段31~60號,0.0,住,,,1090112,土地0建物0車位1,,,其他,,,,10.05,0,0,0,有,無,無,3500,,升降機械,10.05,3500,,RPRNMLLMJHPFFEA97CC
北投區,建物,臺北市北投區中和街493巷1弄1~30號,0.0,住,,,1090122,土地0建物0車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0711227,28.290000000000003,1,0,1,有,無,有,7800,276,,0.0,0,此為分租套房，房號502，第五層共分成4間，一間平均面積約為28.29平方公尺,RPSOMLLMJHPFFEA18CC
北投區,建物,臺北市北投區中和街1~30號,0.0,商,,,1090110,土地0建物2車位0,二層,13,店面(店鋪),見其他登記事項,鋼筋混凝土造,0950626,449.87,0,1,2,有,有,無,160000,356,,0.0,0,2個門牌。租期含免租裝潢期。,RPVOMLLMJHPFFEA48CC
北投區,建物,臺北市北投區致遠一路二段40巷1~30號,0.0,住,,,1090110,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660407,116.4,3,2,2,有,無,有,26000,223,,0.0,0,,RPXOMLLMJHPFFEA68CC
信義區,建物,臺北市信義區松德路61~90號,0.0,住,,,1081223,土地0建物1車位0,三層,12,辦公商業大樓,商業用,鋼筋混凝土造,0810609,159.35,2,1,2,有,有,有,70000,439,,0.0,0,,RPSNMLLMJHPFFDA97CC
信義區,建物,臺北市信義區中坡南路211~240號,0.0,,,,1081225,土地0建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,,108.43,0,0,0,無,無,無,60000,553,,0.0,0,,RPTNMLLMJHPFFDA08CC
信義區,房地(土地+建物),臺北市信義區基隆路二段181~210號,10.66,商,,,1081231,土地1建物1車位0,十七層,21,辦公商業大樓,見使用執照,鋼筋混凝土造,0860221,131.81,0,0,0,無,無,無,63000,478,,0.0,0,含代扣租賃所得稅及二代健保費,RPUNMLLMJHPFFDA18CC
松山區,建物,臺北市松山區民生東路三段91~120號,0.0,商,,,1090101,土地0建物1車位1,十六層,18,辦公商業大樓,商業用,鋼骨混凝土造,0781111,862.4499999999999,0,0,0,無,有,無,725848,842,坡道平面,0.0,8400,,RPQOMLLMJHPFFDA87CC
信義區,建物,臺北市信義區永吉路120巷1~30號,0.0,商,,,1090120,土地0建物0車位0,二層,10,套房(1房1廳1衛),見使用執照,鋼筋混凝土造,0791212,30.12,1,0,1,有,無,有,14500,481,,0.0,0,此為分租套房，房號204，第二層共分成4間，一間平均面積約為30.12平方公尺,RPSOMLLMJHPFFDA08CC
松山區,建物,臺北市松山區光復北路31~60號,0.0,其他,,,1090121,土地0建物3車位0,二層,12,辦公商業大樓,見使用執照,鋼筋混凝土造,0820414,421.46000000000004,1,0,0,有,有,無,159000,377,,0.0,0,,RPOPMLLMJHPFFDA77CC
信義區,建物,臺北市信義區松勤街1~30號,0.0,其他,,,1090114,土地0建物1車位0,九層,19,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0961225,98.4,1,1,1,有,有,有,77000,783,,0.0,0,,RPQPMLLMJHPFFDA97CC
信義區,建物,臺北市信義區忠孝東路五段451~480號,0.0,其他,,,1090115,土地0建物1車位0,二層,11,其他,見其他登記事項,鋼筋混凝土造,0941006,45.56,1,1,1,有,有,有,25500,560,,0.0,0,,RPTPMLLMJHPFFDA28CC
松山區,建物,臺北市松山區光復北路230巷31~60號,0.0,住,,,1090120,土地0建物1車位0,六層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0910514,129.13,3,2,1,有,有,有,38000,294,,0.0,0,,RPUPMLLMJHPFFDA38CC
大同區,車位,臺北市大同區華陰街61~90號,0.0,商,,,1081223,土地0建物0車位1,,,其他,,,,13.91,0,0,0,有,有,無,4000,,塔式車位,0.0,4000,,RPRNMLLMJHPFFBA67CC
大同區,建物,臺北市大同區華亭街31~60號,0.0,商,,,1081231,土地0建物1車位0,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991101,58.03,0,0,0,無,無,有,23000,396,,0.0,0,,RPUNMLLMJHPFFBA97CC
萬華區,建物,臺北市萬華區長沙街二段61~90號,0.0,商,,,1090120,土地0建物1車位0,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0860726,62.910000000000004,2,2,1,有,無,有,18000,286,,0.0,0,,RPOOMLLMJHPFFBA47CC
中山區,建物,臺北市中山區新生北路三段56巷1~30號,0.0,商,,,1081212,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981021,75.78,1,1,1,有,有,有,47200,623,,0.0,0,,RPVNMLLMJHPFFCA18CC
內湖區,建物,臺北市內湖區行善路361~390號,0.0,其他,,,1090120,土地0建物1車位0,一層,12,店面(店鋪),見其他登記事項,鋼筋混凝土造,1021017,175.03,0,0,0,無,有,有,60000,343,,0.0,0,,RPXNMLLMJHPFFCA38CC
中山區,房地(土地+建物),臺北市中山區明水路601~630號,0.0,住,,,1081216,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821108,212.56,5,2,2,有,無,有,80000,376,,0.0,0,,RPWOMLLMJHPFFCA38CC
中山區,房地(土地+建物)+車位,臺北市中山區南京東路二段1~30號,0.0,商,,,1081203,土地1建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1061208,234.01999999999998,4,2,2,有,無,有,110000,470,坡道平面,35.5,0,,RPOPMLLMJHPFFCA67CC
內湖區,建物,臺北市內湖區內湖路一段661~690號,0.0,其他,,,1090112,土地0建物1車位0,七層,18,其他,住家用,見其他登記事項,0991123,132.79999999999998,2,2,1,有,有,有,56000,422,,0.0,0,,RPUPMLLMJHPFFCA28CC
內湖區,建物,臺北市內湖區內湖路三段60巷12弄31~60號,0.0,住,,,1090119,土地0建物0車位0,四層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0670913,23.22,1,0,1,有,無,有,11500,495,,0.0,0,此為分租套房，房號403，第四層共分成3間，一間平均面積約為23.22平方公尺,RPPQMLLMJHPFFCA87CC
中山區,建物,臺北市中山區中山北路二段128巷6弄1~30號,0.0,商,,,1090103,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0660415,28.369999999999997,0,0,0,無,無,有,14000,493,,0.0,0,,RPQQMLLMJHPFFCA97CC
中山區,建物,臺北市中山區林森北路391~420號,0.0,商,,,1090105,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0710531,34.81,0,0,0,無,無,有,15000,431,,0.0,0,,RPRQMLLMJHPFFCA08CC
中山區,建物,臺北市中山區樂群二路151~180號,0.0,住,,,1090110,土地0建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890628,155.66,3,2,2,有,有,有,35000,225,坡道平面,0.0,0,,RPUQMLLMJHPFFCA38CC
內湖區,建物,臺北市內湖區民權東路六段241~270號,0.0,住,,,1081217,土地0建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971128,86.12,2,1,1,有,有,有,32000,372,塔式車位,6.76,0,,RPVQMLLMJHPFFCA48CC
中山區,建物,臺北市中山區農安街91~120號,0.0,住,,,1090106,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600303,73.48,2,2,1,有,無,有,20000,272,,0.0,0,,RPWQMLLMJHPFFCA58CC
中山區,建物,臺北市中山區明水路672巷1~30號,0.0,商,,,1090115,土地0建物1車位2,八層,10,其他,見其他登記事項,鋼筋混凝土造,0981218,287.71000000000004,3,2,2,有,有,有,115000,400,坡道平面,72.29,0,,RPQRMLLMJHPFFCA08CC
中山區,建物,臺北市中山區中山北路二段91~120號,0.0,商,,,1081217,土地0建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080227,87.52000000000001,2,1,1,有,無,有,59500,787,坡道平面,17.62,0,,RPRRMLLMJHPFFCA18CC
中山區,建物,臺北市中山區林森北路399巷1~30號,0.0,商,,,1090122,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0730927,82.32000000000001,3,1,1,有,無,有,29000,352,,0.0,0,,RPSRMLLMJHPFFCA28CC
中山區,建物,臺北市中山區復興北路391~420號,0.0,商,,,1090114,土地0建物1車位0,八層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,0751125,57.25,1,1,1,有,有,有,28000,489,,0.0,0,,RPURMLLMJHPFFCA48CC
中山區,建物,臺北市中山區伊通街121~150號,0.0,住,,,1090122,土地0建物0車位0,四層,4,套房(1房1廳1衛),,加強磚造,,30.3,1,0,1,有,無,有,14500,479,,0.0,0,此為分租套房，房號402，第四層共分成3間，一間平均面積約為30.3平方公尺,RPVRMLLMJHPFFCA58CC
中山區,建物,臺北市中山區新生北路三段31~60號,0.0,住,,,1090123,土地0建物0車位0,三層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0630726,21.49,1,0,1,有,無,有,11000,512,,0.0,0,此為分租套房，房號305，第三層共分成5間，一間平均面積約為21.49平方公尺,RPWRMLLMJHPFFCA68CC
內湖區,建物,臺北市內湖區東湖路33巷1~30號,0.0,商,,,1090110,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951027,87.75,2,2,1,有,有,有,27000,308,,0.0,0,,RPXRMLLMJHPFFCA78CC
