鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,建物,臺北市中山區林森北路107巷61~90號,0.0,商,,,1090103,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010210,77.27000000000001,2,2,1,有,有,有,50000,647,,0.0,0,,RPQUMLLLJHPFFCA28CC
中山區,建物,臺北市中山區雙城街1~30號,0.0,商,,,1090102,土地0建物1車位1,八層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0870207,191.85000000000002,0,0,0,無,有,無,56760,296,升降平面,35.74,0,,RPSUMLLLJHPFFCA48CC
中山區,建物,臺北市中山區市民大道三段31~60號,0.0,住,,,1081230,土地0建物2車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0690916,207.32,0,1,2,有,無,無,88889,429,,0.0,0,,RPVUMLLLJHPFFCA78CC
中山區,建物,臺北市中山區天祥路31~60號,0.0,商,,,1081228,土地0建物1車位1,三層,10,辦公商業大樓,商業用,鋼筋混凝土造,0900719,107.8,2,1,0,有,有,有,47000,436,升降機械,15.8,0,租期含免租裝潢期。,RPWUMLLLJHPFFCA88CC
大同區,建物,臺北市大同區承德路三段61~90號,0.0,商,,,1090101,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070723,94.38,2,1,1,有,有,有,59880,634,,0.0,0,售價包含裝潢或家電。;親友、員工或其他特殊關係間之交易。;,RPQNMLLLJHPFFBA47CC
中正區,建物,臺北市中正區忠孝西路一段1~30號,0.0,商,,,1090117,土地0建物1車位0,十六層,19,辦公商業大樓,商業用,鋼筋混凝土造,0740114,597.02,0,0,0,無,有,無,343140,575,,0.0,0,,RPQOMLLLJHPFFBA57CC
中正區,房地(土地+建物),臺北市中正區許昌街1~30號,32.44,商,,,1090116,土地3建物1車位0,七層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0801126,213.5,0,1,1,有,無,有,82302,385,,0.0,0,,RPSOMLLLJHPFFBA77CC
大同區,建物,臺北市大同區酒泉街31~60號,0.0,商,,,1090108,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0671028,213.67,0,0,0,無,無,有,55000,257,,0.0,0,,RPVOMLLLJHPFFBA08CC
大同區,建物,臺北市大同區承德路三段151~180號,0.0,商,,,1090107,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960822,69.26,1,1,1,有,無,有,22905,331,,0.0,0,,RPOPMLLLJHPFFBA47CC
大同區,建物,臺北市大同區延平北路一段121~150號,0.0,商,,,1090117,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080411,82.33,2,1,1,有,有,無,28000,340,,0.0,0,,RPUPMLLLJHPFFBA08CC
萬華區,建物,臺北市萬華區青年路168巷2弄31~60號,0.0,住,,,1081228,土地0建物1車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,,37.87,1,1,1,有,無,有,10000,264,,0.0,0,,RPVPMLLLJHPFFBA18CC
大同區,建物,臺北市大同區南京西路25巷31~60號,0.0,商,,,1090108,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970626,107.86,2,1,1,有,有,有,56000,519,,0.0,0,售價包含裝潢或家電。;,RPWPMLLLJHPFFBA28CC
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1090109,土地0建物1車位0,七層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,92.41,1,1,1,有,有,有,55000,595,,0.0,0,售價包含裝潢或家電。;親友、員工或其他特殊關係間之交易。;,RPXPMLLLJHPFFBA38CC
